,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass,distanceSumHi,distanceSumLow,differentialDistanceFromRoof65,differentialDistanceFromRoof67,differentialDistanceFromRoof57
204,48.02,9.74,54.22,46.94,26.88,24.91,33.55,RECTANGULAR_BOX,57.760000000000005,101.16,-1.9699999999999989,-8.639999999999997,-6.669999999999998
205,48.06,9.72,54.3,46.9,27.31,24.92,113.05,RECTANGULAR_BOX,57.78,101.19999999999999,-2.389999999999997,-88.13,-85.74
206,39.52,17.28,39.06,37.79,50.34,63.01,109.98,SQUARE_MILK_90,56.800000000000004,76.85,12.669999999999995,-46.970000000000006,-59.64
207,39.55,17.3,38.64,37.81,50.78,63.44,12.23,SQUARE_MILK_90,56.849999999999994,76.45,12.659999999999997,51.209999999999994,38.55
208,39.53,17.27,39.07,38.28,50.39,63.07,110.26,SQUARE_MILK_90,56.8,77.35,12.68,-47.190000000000005,-59.870000000000005
209,39.56,17.23,39.08,37.82,50.43,63.03,30.31,SQUARE_MILK_90,56.790000000000006,76.9,12.600000000000001,32.72,20.12
210,39.45,17.26,38.63,37.76,50.35,63.87,109.81,SQUARE_MILK_90,56.71000000000001,76.39,13.519999999999996,-45.940000000000005,-59.46
211,39.51,17.25,39.09,37.86,50.29,63.43,114.71,SQUARE_MILK_90,56.76,76.95,13.14,-51.279999999999994,-64.41999999999999
212,39.47,17.23,39.03,38.16,50.4,63.92,81.23,SQUARE_MILK_90,56.7,77.19,13.520000000000003,-17.310000000000002,-30.830000000000005
213,39.49,17.28,39.01,38.22,50.32,63.49,113.47,SQUARE_MILK_90,56.77,77.22999999999999,13.170000000000002,-49.98,-63.15
214,38.68,17.28,38.62,38.19,50.33,62.72,110.4,SQUARE_MILK_90,55.96,76.81,12.39,-47.68000000000001,-60.07000000000001
215,39.53,17.25,39.04,37.8,50.84,63.49,23.33,SQUARE_MILK_90,56.78,76.84,12.649999999999999,40.160000000000004,27.510000000000005
216,38.68,17.32,38.56,37.82,50.41,63.01,109.56,SQUARE_MILK_90,56.0,76.38,12.600000000000001,-46.550000000000004,-59.150000000000006
217,39.04,17.21,38.72,37.85,50.46,63.97,112.85,SQUARE_MILK_90,56.25,76.57,13.509999999999998,-48.879999999999995,-62.38999999999999
218,39.55,17.28,38.66,37.85,50.28,62.97,109.0,SQUARE_MILK_90,56.83,76.50999999999999,12.689999999999998,-46.03,-58.72
219,39.45,17.24,38.6,37.8,50.85,64.39,109.27,SQUARE_MILK_90,56.69,76.4,13.54,-44.879999999999995,-58.419999999999995
220,39.48,17.28,38.63,37.88,50.38,63.98,109.03,SQUARE_MILK_90,56.76,76.51,13.599999999999994,-45.050000000000004,-58.65
221,39.47,17.19,38.6,37.88,50.34,63.05,114.86,SQUARE_MILK_90,56.66,76.48,12.709999999999994,-51.81,-64.52
222,39.5,17.26,38.65,37.75,50.43,63.43,109.16,SQUARE_MILK_90,56.760000000000005,76.4,13.0,-45.73,-58.73
241,18.98,16.36,17.96,18.52,50.3,41.11,114.16,BEAN_CAN,35.34,36.480000000000004,-9.189999999999998,-73.05,-63.86
242,19.03,16.34,17.95,18.15,50.59,40.27,110.03,BEAN_CAN,35.370000000000005,36.099999999999994,-10.32,-69.75999999999999,-59.44
243,19.96,16.38,17.98,18.51,50.69,40.15,113.45,BEAN_CAN,36.34,36.49,-10.54,-73.30000000000001,-62.760000000000005
244,18.94,16.3,17.89,18.11,50.64,39.33,110.29,BEAN_CAN,35.24,36.0,-11.310000000000002,-70.96000000000001,-59.650000000000006
245,18.94,16.29,17.94,18.06,51.05,40.59,109.67,BEAN_CAN,35.230000000000004,36.0,-10.459999999999994,-69.08,-58.620000000000005
246,19.0,16.31,17.9,18.08,50.65,40.17,110.03,BEAN_CAN,35.31,35.98,-10.479999999999997,-69.86,-59.38
247,19.05,16.34,17.88,18.09,50.66,40.12,40.13,BEAN_CAN,35.39,35.97,-10.54,-0.010000000000005116,10.529999999999994
248,18.98,16.4,17.94,18.08,50.71,40.22,61.07,BEAN_CAN,35.379999999999995,36.019999999999996,-10.490000000000002,-20.85,-10.36
249,19.05,16.29,17.89,18.12,50.68,40.17,4.19,BEAN_CAN,35.34,36.010000000000005,-10.509999999999998,35.980000000000004,46.49
250,19.04,16.38,18.0,18.16,50.63,40.24,58.58,BEAN_CAN,35.42,36.16,-10.39,-18.339999999999996,-7.949999999999996
289,53.8,49.55,54.37,50.22,51.22,53.06,105.94,WALL_BALL,103.35,104.59,1.8400000000000034,-52.879999999999995,-54.72
290,53.78,52.09,54.46,50.67,51.71,51.74,108.4,WALL_BALL,105.87,105.13,0.030000000000001137,-56.660000000000004,-56.690000000000005
291,53.79,52.11,54.42,49.42,50.8,51.78,109.06,WALL_BALL,105.9,103.84,0.980000000000004,-57.28,-58.260000000000005
292,54.26,51.66,54.42,49.42,51.19,52.16,106.53,WALL_BALL,105.91999999999999,103.84,0.9699999999999989,-54.370000000000005,-55.34
293,53.83,52.5,54.33,48.94,51.21,52.16,107.93,WALL_BALL,106.33,103.27,0.9499999999999957,-55.77000000000001,-56.720000000000006
294,54.25,52.1,54.38,48.5,51.35,51.73,106.88,WALL_BALL,106.35,102.88,0.37999999999999545,-55.15,-55.529999999999994
295,54.25,51.25,54.39,49.36,51.77,52.08,112.6,WALL_BALL,105.5,103.75,0.30999999999999517,-60.519999999999996,-60.82999999999999
296,53.85,51.21,54.47,49.79,51.28,51.68,95.76,WALL_BALL,105.06,104.25999999999999,0.3999999999999986,-44.080000000000005,-44.480000000000004
297,54.26,52.02,54.45,48.57,50.9,52.18,111.7,WALL_BALL,106.28,103.02000000000001,1.2800000000000011,-59.52,-60.800000000000004
298,53.78,51.28,54.34,48.56,50.79,51.77,111.41,WALL_BALL,105.06,102.9,0.980000000000004,-59.63999999999999,-60.62
299,54.26,50.35,54.37,49.37,50.85,51.73,79.09,WALL_BALL,104.61,103.74,0.8799999999999955,-27.360000000000007,-28.240000000000002
