Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,ObjectClass
1609513818,54.71,53.93,43.01,42.68,WALL_3D
1609513829,42.84,53.08,42.2,41.4,WALL_3D
1609513839,43.22,66.76,41.75,40.95,WALL_3D
1609513849,43.61,66.39,42.24,41.41,WALL_3D
1609513859,42.78,52.27,35.08,44.11,WALL_3D
1609513869,24.53,50.3,51.42,25.75,WALL_3D
1609513879,24.53,49.87,51.13,43.45,WALL_3D
1609513889,24.5,49.82,51.12,25.7,WALL_3D
1609513899,24.55,50.28,51.06,44.61,WALL_3D
1609513909,24.58,49.82,51.05,44.24,WALL_3D
1609513919,24.5,50.64,51.08,25.19,WALL_3D
1609513929,24.45,51.47,78.84,50.84,WALL_3D
1609513939,57.12,58.88,51.39,50.9,WALL_3D
1609513949,54.96,33.37,34.49,34.6,WALL_3D
1609513959,52.81,33.48,34.56,34.58,WALL_3D
1609513969,51.86,33.88,34.69,34.5,WALL_3D
1609513979,52.42,33.9,34.57,34.14,WALL_3D
1609513989,52.45,33.37,34.51,34.58,WALL_3D
1609513999,52.76,33.36,34.54,34.18,WALL_3D
1609514009,51.92,33.44,34.58,34.13,WALL_3D
1609514019,51.93,33.37,34.5,34.5,WALL_3D
1609514029,52.04,33.86,34.46,34.11,WALL_3D
1609514039,51.58,33.39,34.55,32.54,WALL_3D
1609514049,35.25,34.06,49.93,33.44,WALL_3D
1609514059,35.24,34.13,50.33,33.83,WALL_3D
1609514069,35.15,34.02,50.76,33.4,WALL_3D
1609514079,35.24,34.49,50.33,33.85,WALL_3D
1609514089,18.22,14.82,16.94,14.91,WALL_3D
1609514099,15.95,15.15,16.87,14.91,WALL_3D
1609514109,15.53,15.17,16.9,14.9,WALL_3D
