,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass
399,53.36,16.5,55.79,17.94,50.43,2106.98,113.21,GLASS
400,53.34,16.49,55.81,17.84,50.51,2107.87,113.02,GLASS
401,53.74,16.45,55.85,17.84,50.51,2107.62,109.16,GLASS
402,53.34,16.46,55.8,17.82,50.44,2107.3,110.06,GLASS
403,53.35,16.49,55.33,17.94,50.89,2108.19,108.65,GLASS
405,53.69,16.41,55.61,18.58,50.47,2107.25,113.16,GLASS
177,48.02,10.57,53.82,46.91,27.28,27.02,118.36,RECTANGULAR_BOX
178,47.56,9.78,54.17,47.39,26.87,24.92,63.33,RECTANGULAR_BOX
179,47.62,10.56,54.25,47.39,26.86,24.93,117.89,RECTANGULAR_BOX
183,47.95,9.75,54.19,47.41,27.33,24.97,114.49,RECTANGULAR_BOX
184,47.65,10.66,54.27,47.37,27.33,24.91,114.41,RECTANGULAR_BOX
185,48.04,9.76,54.21,47.29,27.35,24.94,113.5,RECTANGULAR_BOX
186,47.55,9.64,54.22,47.32,26.85,24.94,114.08,RECTANGULAR_BOX
187,48.03,9.67,54.26,47.29,26.9,24.99,113.97,RECTANGULAR_BOX
189,47.93,10.55,54.28,47.42,27.27,24.99,116.97,RECTANGULAR_BOX
190,48.0,9.74,54.28,47.39,26.9,24.98,112.17,RECTANGULAR_BOX
191,48.04,9.76,54.62,47.41,27.37,24.92,105.39,RECTANGULAR_BOX
192,48.03,10.58,54.68,47.29,27.29,25.38,116.93,RECTANGULAR_BOX
193,47.6,10.55,54.21,47.37,27.3,24.92,116.48,RECTANGULAR_BOX
194,47.53,9.64,54.23,47.27,26.95,24.92,112.6,RECTANGULAR_BOX
195,47.55,10.55,53.84,47.39,27.34,24.99,112.08,RECTANGULAR_BOX
196,47.57,10.55,54.64,47.26,26.87,24.88,115.56,RECTANGULAR_BOX
197,47.55,10.59,54.64,47.39,27.26,24.92,112.55,RECTANGULAR_BOX
198,47.53,10.54,53.46,47.33,27.33,25.02,116.05,RECTANGULAR_BOX
199,47.55,9.73,54.25,47.0,27.29,24.95,112.12,RECTANGULAR_BOX
200,47.58,9.69,54.3,47.31,27.32,24.92,111.95,RECTANGULAR_BOX
201,47.55,9.67,54.2,47.37,27.38,24.97,36.69,RECTANGULAR_BOX
202,47.57,9.73,54.26,47.33,27.4,25.42,80.07,RECTANGULAR_BOX
203,47.99,9.69,54.6,46.9,27.33,24.95,73.89,RECTANGULAR_BOX
205,48.06,9.72,54.3,46.9,27.31,24.92,113.05,RECTANGULAR_BOX
