,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass,HCSR04_001_empty,HCSR04_002_empty,HCSR04_003_empty,HCSR04_004_empty,HCSR04_005_empty,HCSR04_006_empty,HCSR04_007_empty,HCSR04_001_BIN,HCSR04_002_BIN,HCSR04_003_BIN,HCSR04_004_BIN,HCSR04_005_BIN,HCSR04_006_BIN,HCSR04_007_BIN
88,53.2,18.56,21.68,17.42,50.32,52.1,107.35,4,1,0,0,0,0,0,1,1,2,0,2,1,1,1
89,53.63,18.51,21.63,17.41,50.28,52.1,117.08,4,0,0,0,0,0,0,0,1,2,0,2,1,1,1
90,53.61,18.49,21.64,17.37,49.77,52.05,105.15,4,0,0,0,0,0,0,1,1,2,0,2,1,1,1
91,53.27,18.49,21.62,17.43,49.84,51.63,104.65,4,1,0,0,0,0,1,1,1,2,0,2,1,1,1
92,53.26,18.56,21.57,17.38,50.23,52.16,105.82,4,1,0,0,0,0,0,1,1,2,0,2,1,1,1
93,53.14,18.51,21.63,17.32,50.53,52.49,107.28,4,0,0,0,0,1,0,1,1,2,0,2,1,1,1
94,52.82,18.48,21.57,17.4,49.86,51.68,110.79,4,0,0,0,0,0,1,1,1,2,0,2,1,1,1
95,53.68,18.45,21.56,17.5,50.21,50.87,111.19,4,0,0,0,0,0,0,1,1,2,0,2,1,1,1
96,53.65,18.49,21.65,17.46,49.81,52.53,106.92,4,0,0,0,0,0,0,1,1,2,0,2,1,1,1
97,53.62,18.42,21.61,17.36,50.31,52.11,106.56,4,0,0,0,0,0,0,1,1,2,0,2,1,1,1
98,53.66,18.53,21.59,17.39,50.25,52.51,107.74,4,0,0,0,0,0,0,1,1,2,0,2,1,1,1
99,52.88,18.55,21.68,17.46,50.58,52.52,107.61,4,0,0,0,0,0,0,1,1,2,0,2,1,1,1
100,53.66,18.44,21.64,17.47,49.76,52.17,105.99,4,0,0,0,0,0,0,1,1,2,0,2,1,1,1
101,53.18,18.5,21.59,17.37,50.18,52.47,107.77,4,1,0,0,0,0,0,1,1,2,0,2,1,1,1
102,53.26,18.5,21.62,17.46,49.82,52.54,111.14,4,1,0,0,0,0,0,1,1,2,0,2,1,1,1
103,53.58,18.52,21.71,17.3,50.27,51.7,110.65,4,0,0,0,0,0,1,1,1,2,0,2,1,1,1
104,53.65,18.54,21.64,17.45,50.2,51.68,111.14,4,0,0,0,0,0,1,1,1,2,0,2,1,1,1
105,53.74,15.67,55.89,18.62,50.72,2108.89,108.02,4,0,0,0,0,0,0,1,1,2,1,2,1,1,1
106,53.35,16.45,55.81,17.85,50.56,105.04,107.63,4,0,0,0,0,0,0,1,1,2,1,2,1,1,1
107,53.38,16.45,55.77,17.84,50.42,2107.58,109.85,4,0,0,0,0,0,0,1,1,2,1,2,1,1,1
108,53.36,16.5,55.79,17.94,50.43,2106.98,113.21,4,0,0,0,0,1,0,0,1,2,1,2,1,1,1
109,53.34,16.49,55.81,17.84,50.51,2107.87,113.02,4,0,0,0,0,1,0,0,1,2,1,2,1,1,1
110,53.74,16.45,55.85,17.84,50.51,2107.62,109.16,4,0,0,0,0,1,0,1,1,2,1,2,1,1,1
111,53.34,16.46,55.8,17.82,50.44,2107.3,110.06,4,0,0,0,0,1,0,1,1,2,1,2,1,1,1
112,53.35,16.49,55.33,17.94,50.89,2108.19,108.65,4,0,0,0,0,0,0,1,1,2,1,2,1,1,1
113,53.69,16.41,55.61,18.58,50.47,2107.25,113.16,4,0,0,0,0,1,0,0,1,2,1,2,1,1,1
114,48.02,10.57,53.82,46.91,27.28,27.02,118.36,5,0,0,0,0,0,0,0,1,2,1,1,0,0,1
115,47.56,9.78,54.17,47.39,26.87,24.92,63.33,5,0,0,0,0,0,0,0,1,2,1,1,0,0,1
116,47.62,10.56,54.25,47.39,26.86,24.93,117.89,5,0,0,0,0,0,0,0,1,2,1,1,0,0,1
117,47.95,9.75,54.19,47.41,27.33,24.97,114.49,5,0,0,0,0,0,0,0,1,2,1,1,0,0,1
118,47.65,10.66,54.27,47.37,27.33,24.91,114.41,5,0,0,0,0,0,0,0,1,2,1,1,0,0,1
119,48.04,9.76,54.21,47.29,27.35,24.94,113.5,5,0,0,0,0,0,0,0,1,2,1,1,0,0,1
120,47.55,9.64,54.22,47.32,26.85,24.94,114.08,5,0,0,0,0,0,0,0,1,2,1,1,0,0,1
121,48.03,9.67,54.26,47.29,26.9,24.99,113.97,5,0,0,0,0,0,0,0,1,2,1,1,0,0,1
122,47.93,10.55,54.28,47.42,27.27,24.99,116.97,5,0,0,0,0,0,0,0,1,2,1,1,0,0,1
123,48.0,9.74,54.28,47.39,26.9,24.98,112.17,5,0,0,0,0,0,0,0,1,2,1,1,0,0,1
124,48.04,9.76,54.62,47.41,27.37,24.92,105.39,5,0,0,0,0,0,0,1,1,2,1,1,0,0,1
125,48.03,10.58,54.68,47.29,27.29,25.38,116.93,5,0,0,0,0,0,0,0,1,2,1,1,0,0,1
126,47.6,10.55,54.21,47.37,27.3,24.92,116.48,5,0,0,0,0,0,0,0,1,2,1,1,0,0,1
127,47.53,9.64,54.23,47.27,26.95,24.92,112.6,5,0,0,0,0,0,0,0,1,2,1,1,0,0,1
128,47.55,10.55,53.84,47.39,27.34,24.99,112.08,5,0,0,0,0,0,0,0,1,2,1,1,0,0,1
129,47.57,10.55,54.64,47.26,26.87,24.88,115.56,5,0,0,0,0,0,0,0,1,2,1,1,0,0,1
130,47.55,10.59,54.64,47.39,27.26,24.92,112.55,5,0,0,0,0,0,0,0,1,2,1,1,0,0,1
131,47.53,10.54,53.46,47.33,27.33,25.02,116.05,5,0,0,0,0,0,0,0,1,2,1,1,0,0,1
132,47.55,9.73,54.25,47.0,27.29,24.95,112.12,5,0,0,0,0,0,0,0,1,2,1,1,0,0,1
133,47.58,9.69,54.3,47.31,27.32,24.92,111.95,5,0,0,0,0,0,0,0,1,2,1,1,0,0,1
134,47.55,9.67,54.2,47.37,27.38,24.97,36.69,5,0,0,0,0,0,0,0,1,2,1,1,0,0,0
135,47.57,9.73,54.26,47.33,27.4,25.42,80.07,5,0,0,0,0,0,0,0,1,2,1,1,0,0,1
136,47.99,9.69,54.6,46.9,27.33,24.95,73.89,5,0,0,0,0,0,0,0,1,2,1,1,0,0,1
137,48.06,9.72,54.3,46.9,27.31,24.92,113.05,5,0,0,0,0,0,0,0,1,2,1,1,0,0,1
